"No.","Rubro","Ejercicio","NOM_MUN","Inversión","Habitantes beneficiados","Obra"
"110","Infraestructura Carretera",2023,"Atlapexco",353612.73,150,"Rehabilitación del tramo: E.C. Cuatapa - Tenexco - Tlahica; del km 0+000 al km 0+500"
"111","Vialidades Urbanas",2023,"Atlapexco",3219403.68,899,"Construcción de Pavimentación Hidráulica en la Localidad de Achiquihuxtla en Barrio Achiquihuxtla I; Calle La Curva; en el Municipio de Atlapexco."
"112","Infraestructura Hídrica",2024,"Atotonilco de Tula",1652741.05026897,0,"Actualización del proyecto ejecutivo para el saneamiento de los Ríos Tula y Salado; primera etapa"
"113","Infraestructura Carretera",2025,"Atotonilco de Tula",4e+07,NA,"Modernización de carretera Refugio - Texas; en el municipio de Atotonilco de Tula"
"114","Vialidades Urbanas",2023,"Atotonilco de Tula",988036.44,4705,"Construcción de pavimentación asfáltica en Lázaro Cárdenas"
"115","Vialidades Urbanas",2024,"Atotonilco de Tula",598134.36,NA,"Reconstrucción de calle República de El Salvador; en el municipio de Atotonilco de Tula."
"116","Infraestructura Carretera",2024,"Atotonilco de Tula",7984064.96,8822,"Reconstrucción de C.E. Atotonilco de Tula - El Cardonal; municipio de Atotonilco de Tula"
"117","Vialidades Urbanas",2023,"Atotonilco el Grande",1846466.22,1195,"Construcción de pavimento hidráulico en calle Los Fresnos; en el municipio de Atotonilco el Grande."
"118","Infraestructura Hídrica",2022,"Atotonilco el Grande",3134120.46,437,"Construcción de ampliación de red de agua potable en Los Tepetates"
"119","Vialidades Urbanas",2024,"Atotonilco el Grande",2475805.88,1510,"Construcción de pavimento hidráulico en calle La Piaña; Santa María Amajac; en el municipio de Atotonilco el  Grande."
"120","Infraestructura Carretera",2023,"Atotonilco el Grande",7991768.45,8417,"Construcción de pavimento hidráulico en salida principal Avenida Juárez"
"121","Vialidades Urbanas",2022,"Atotonilco el Grande",995342.94,707,"Construcción de pavimentación hidráulica en calle México; en la localidad de Cerro Colorado; municipio de Atotonilco el Grande"
"122","Infraestructura Hídrica",2024,"Atotonilco el Grande",23207888.52,8417,"Construcción de interconexiones a la Línea de Conducción del Sistema de Agua Potable Los Berros; en el municipio de Atotonilco El Grande"
"123","Infraestructura Carretera",2024,"Atotonilco el Grande",6200000,1350,"Construye Tu Camino del tramo Camino de la Región de Comunidades Unidas; en el Municipio de Atotonilco el Grande"
"124","Infraestructura Carretera",2024,"Calnali",3976924.16,199,"Rehabilitación de Camino Calnali a Tostlamantla; del Km 0.000 al Km 5.000; en el municipio de Calnali."
"125","Infraestructura Carretera",2024,"Calnali",4535517.84,337,"Rehabilitación del camino Pezmatlán a Tula; en la localidad de Tula; municipio de Calnali"
"126","Vivienda Asequible",2024,"Calnali",1827486.85,NA,"Construcción de cuartos dormitorios en el municipio de Calnali"
"127","Infraestructura Carretera",2022,"Calnali",35528050.09,226,"Rehabilitación de Pavimentación en la Carretera Estatal Calnali - San Andrés - Santa Lucia; municipio de Calnali"
"128","Infraestructura Carretera",2024,"Calnali",2364543.41,821,"Construcción de muro de contención de la C.E. Ixtlahuaco - Calnali; Ahuacatlán; municipio de Calnali"
"129","Infraestructura Hídrica",2022,"Calnali",344997.18,20,"Construcción de sanitario con biodigestor; en el municipio de Calnali"
"130","Espacios Públicos",2025,"Calnali",725456,4235,"Construcción de Andadores Turísticos en el Centro Histórico de Calnali"
"131","Vivienda Asequible",2022,"Calnali",519265.64,20,"Construcción de cuarto dormitorio; en el municipio de Calnali"
"132","Infraestructura Carretera",2024,"Calnali",3149889.61,1355,"Construcción de muro de contención y obra de drenaje en la C.E. Huazalingo - Calnali (Calnali - San Andrés - Santa Lucia); San Andrés; municipio de Calnali"
"133","Infraestructura Carretera",2023,"Calnali",6781227.6,2258,"Pavimentación hidráulica de la carretera San Andrés - Tecpaco - Tecueyaca"
"134","Infraestructura Carretera",2023,"Calnali",4692901.03,312,"Rehabilitación del tramo acceso a Tecueyaca; del Km 0+000 al km 6+000; en el Municipio de Calnali."
"135","Infraestructura Carretera",2024,"Calnali",3587098.19,4235,"Reconstrucción de la C.E. Calnali a Papatlatla; Paso por Calnali; en el municipio de Calnali"
"136","Infraestructura Hídrica",2023,"Cardonal",4457099.7,755,"Equipamiento de pozo; ramal eléctrico; línea de conducción y tanque de regularización del sistema de agua potable manantial Salinas  etapa uno de dos"
"137","Infraestructura Hídrica",2024,"Cardonal",2993437.85,478,"Equipamiento electromecanico para pozo de agua potable en la localidad de San Miguel Jigui; municipio de Cardonal"
"138","Infraestructura Hídrica",2023,"Cardonal",1552482.46,272,"Ampliación del Sistema de Agua Potable para beneficiar a la localidad de San Miguel Tlazintla en el municipio de Cardonal"
"139","Infraestructura Hídrica",2022,"Cardonal",3325797.27,NA,"Ampliación del sistema de agua potable en la localidad de El Deca en el municipio de Cardonal"
"140","Infraestructura Carretera",2024,"Cardonal",5500000,500,"Construye Tu Camino del Acceso a El Molino; en el municipio de Cardonal"
"141","Infraestructura Hídrica",2024,"Cardonal",2741934.94,0,"Estudio y proyecto para la perforación de pozo profundo para uso público; en la localidad de El Vithé; municipio de Cardonal"
"142","Infraestructura Hídrica",2023,"Cardonal",1584513.1,210,"Construcción de sistema de agua potable La Mesa; municipio de Cardonal; etapa dos de dos."
"143","Infraestructura Carretera",2025,"Cardonal",13410378.14,NA,"Rehabilitación de la carretera Cardonal - Cerro Colorado; municipio de Cardonal"
"144","Infraestructura Carretera",2023,"Cardonal",6122809.2,NA,"Construye Tu Camino del Tramo La Mesa - La Gloria; en municipio de Cardonal"
"145","Infraestructura Carretera",2024,"Cardonal",11185208.89,755,"Construcción de piso de concreto hidráulico en acceso a Tolantongo; en el municipio de Cardonal"
"146","Infraestructura Hídrica",2023,"Cardonal",3604235.81,NA,"Construcción de sistema de agua potable de Salinas; municipio de El Cardonal"
"147","Infraestructura Hídrica",2022,"Cardonal",2452380.01,210,"Construcción de sistema de agua potable La Mesa; municipio de Cardonal; etapa una de dos."
"148","Infraestructura Carretera",2023,"Cardonal",3032096.67,270,"Construcción de Pavimentación Hidráulica con roderas; en la localidad de Cuesta Blanca municipio de Cardonal."
"149","Vialidades Urbanas",2022,"Cardonal",1307947.47,1065,"Construcción de pavimento de concreto hidráulico en el municipio de Cardonal en la localidad del Bingu; en diferentes calles"
"150","Infraestructura Carretera",2024,"Cardonal",9690119.88,273,"Construcción de pavimentación hidráulica del Camino Intermunicipal Cardonal Nicolás Flores tramo El Boxo Barrio del Tixqui; en el municipio de Cardonal."
"151","Infraestructura Carretera",2022,"Cardonal",5820352.9,374,"Construcción de pavimentación de concreto hidráulico en acceso a Las Grutas de Tolantongo; municipio de Cardonal"
"152","Infraestructura Hídrica",2023,"Cardonal",5700000,374,"Ampliación del Sistema de Alcantarillado Sanitario y Planta de Tratamiento de aguas residuales de la localidad de San Cristobal; municipio de Cardonal."
"153","Infraestructura Hídrica",2022,"Cardonal",1999572.81,478,"Perforación de pozo para agua potable en San Miguel Jigui"
"154","Infraestructura Hídrica",2023,"Cardonal",3166869.88,NA,"Terminación de perforación de pozo para agua potable en San Miguel Jigui; Cardonal"
"155","Infraestructura Carretera",2025,"Cardonal",13291329.58,NA,"Construcción de pavimentación hidráulica del camino intermunicipal Cardonal - Tlahuiltepa; tramo El Moxthe - Cieneguilla; en el municipio de Cardonal"
"156","Infraestructura Hídrica",2024,"Cardonal",1949477.1384,90,"Perforación Exploratoria de Pozo de Agua potable; Cardonalito."
"157","Vialidades Urbanas",2023,"Cardonal",4498496.09,339,"Pavimentación asfáltica del Circuito Los Reyes; municipio de Cardonal (segunda etapa)"
"158","Infraestructura Hídrica",2022,"Cardonal",736483.43,272,"Construcción de tanque de regularización en el municipio de Cardonal; en la localidad de San Miguel Tlazintla"
"159","Espacios Públicos",2024,"Cardonal",1010035.86,1124,"Construcción del Corredor Artesanal en la localidad de Pozuelos; municipio de el Cardonal"
"160","Vialidades Urbanas",2024,"Cardonal",1273173.05,532,"Construcción de Pavimentación de Concreto Hidráulico en la localidad de San Antonio Sabanillas; municipio de Cardonal"
"161","Infraestructura Carretera",2023,"Cardonal",3332034.78,NA,"Pavimentación asfáltica del circuito Los Reyes; municipio de Cardonal"
"162","Infraestructura Carretera",2023,"Cardonal",51336180.82,1124,"Modernización y Ampliación del C.R. Pozuelos - El Palmar; Tramo del km 0+000 al 12+209; Subtramo: del km 0+000 al 6+763.21; en el Municipio de Cardonal."
"163","Infraestructura Carretera",2023,"Cardonal",9073447.7,NA,"Modernización del camino San Miguel Tlazintla - El Pinalito; en el municipio de Cardonal"
"164","Infraestructura Carretera",2024,"Cardonal",6400000,NA,"Construye Tu Camino del tramo La Mesa-La Gloria segunda etapa; en el municipio de Cardonal"
