"ID"	"CVEGEO_MUN"	"NOM_MUN"	"Rubro"	"Inversión"	"Habitantes beneficiados"	"Ejercicio"	"Obra"	"tiene_geo"
92	13010	"Atitalaquia"	"Infraestructura Carretera"	13572744.96	6924	2023	"Pavimentación asfáltica de la carretera Refinería - Bojay, en el municipio de Atitalaquia."	TRUE
93	13011	"Atlapexco"	"Vialidades Urbanas"	3219403.68	899	2023	"Construcción de Pavimentación Hidráulica en la Localidad de Achiquihuxtla en Barrio Achiquihuxtla I, Calle La Curva, en el Municipio de Atlapexco."	TRUE
94	13011	"Atlapexco"	"Infraestructura Hídrica"	1249961.72	383	2024	"PTAR Atlatipa Huitzotlaco.- Reposición de Equipo de Bombeo de 7.5 H.P. Paneles Solares, desazolve de estructuras de planta y cercado perimetral (80 m)."	TRUE
95	13011	"Atlapexco"	"Espacios Públicos"	6319985.06	2960	2024	"Construcción de la casa de la mujer indígena 1er etapa en el municipio de Atlapexco"	FALSE
96	13011	"Atlapexco"	"Infraestructura Hídrica"	11419680.01	738	2024	"Construcción de sistema de agua potable en la localidad de Atotomoc, en el municipio de Atlapexco"	TRUE
97	13011	"Atlapexco"	"Infraestructura Carretera"	7530534.4	1410	2023	"Modernización y ampliación del camino (Atlapexco - Calnali) - Tlachapa - Atlajco - Cochotla, municipio de Atlapexco"	TRUE
98	13011	"Atlapexco"	"Infraestructura Carretera"	2130447	923	2023	"Rehabilitación del tramo: E.C. Atlapexco-Cuatapa-Tenexco, del km 0+000 al km 3+900."	TRUE
99	13011	"Atlapexco"	"Infraestructura Carretera"	5898886.79	655	2023	"Rehabilitación del tramo: Huitzotlaco - Ecuatitla, del km 0+000 al km 7+500"	TRUE
100	13011	"Atlapexco"	"Infraestructura Hídrica"	1548636.12	655	2024	"PTAR  Huitzotlaco. Reposición de Equipo de Bombeo de 7.5 H.P. Paneles Solares, desazolve de estructuras de planta y cercado perimetral (140 m)."	TRUE
101	13011	"Atlapexco"	"Infraestructura Carretera"	8288509.13	1113	2024	"Rehabilitación de la Carretera Atlapexco a Lolotla, Tramo: Acceso a la localidad de Itzócal, municipio de Atlapexco"	FALSE
102	13011	"Atlapexco"	"Infraestructura Carretera"	1394633.97	165	2023	"Rehabilitación del tramo: E.C. (Huejutla-Atlapexco) -Ixtacuayo, del km 0+000 al km 2+000; en el municipio de Atlapexco."	TRUE
103	13011	"Atlapexco"	"Infraestructura Carretera"	3314831.05	1508	2023	"Rehabilitación del tramo E.C. (Acceso a Yahualica)-Pahactla -Santo Tomas-Xancaltitla, del km 0+000 al km 4+700; en el municipio de Atlapexco."	TRUE
104	13011	"Atlapexco"	"Infraestructura Carretera"	16458253.61	1508	2024	"Construcción de pavimentación hidráulica del camino Pahactla a Atlapexco en el municipio de Atlapexco."	TRUE
105	13011	"Atlapexco"	"Infraestructura Carretera"	15735167.26	969	2023	"Construcción de muros de contención en la comunidad de Tecolotitla; en el municipio de Atlapexco"	TRUE
106	13011	"Atlapexco"	"Infraestructura Carretera"	353612.73	150	2023	"Rehabilitación del tramo: E.C. Cuatapa - Tenexco - Tlahica, del km 0+000 al km 0+500"	TRUE
107	13011	"Atlapexco"	"Vivienda Asequible"	1525585.5	60	2022	"Construcción de Cuarto Dormitorio, en el municipio de Atlapexco"	FALSE
108	13013	"Atotonilco de Tula"	"Infraestructura Carretera"	7984064.96	8822	2024	"Reconstrucción de C.E. Atotonilco de Tula - El Cardonal, municipio de Atotonilco de Tula"	TRUE
109	13013	"Atotonilco de Tula"	"Vialidades Urbanas"	598134.36	NA	2024	"Reconstrucción de calle República de El Salvador, en el municipio de Atotonilco de Tula."	FALSE
110	13013	"Atotonilco de Tula"	"Infraestructura Carretera"	4e+07	NA	2025	"Modernización de carretera Refugio - Texas, en el municipio de Atotonilco de Tula"	FALSE
111	13013	"Atotonilco de Tula"	"Vialidades Urbanas"	988036.44	4705	2023	"Construcción de pavimentación asfáltica en Lázaro Cárdenas"	TRUE
112	13012	"Atotonilco el Grande"	"Infraestructura Hídrica"	23207888.52	8417	2024	"Construcción de interconexiones a la Línea de Conducción del Sistema de Agua Potable Los Berros, en el municipio de Atotonilco El Grande"	FALSE
113	13012	"Atotonilco el Grande"	"Infraestructura Carretera"	7991768.45	8417	2023	"Construcción de pavimento hidráulico en salida principal Avenida Juárez"	TRUE
114	13012	"Atotonilco el Grande"	"Vialidades Urbanas"	995342.94	707	2022	"Construcción de pavimentación hidráulica en calle México, en la localidad de Cerro Colorado, municipio de Atotonilco el Grande"	TRUE
