"No.","Municipio_Original","CVEGEO","NOM_MUN","Rubro","Ejercicio","Obra","Localidad","Inversión","Avance","Habitantes beneficiados"
"97","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Modernización y ampliación del camino (Atlapexco - Calnali) - Tlachapa - Atlajco - Cochotla municipio de Atlapexco","Cochotla",7530534.4,"1","1410"
"107","Atlapexco","13011","Atlapexco","Vivienda Asequible","2022","Construcción de Cuarto Dormitorio en el municipio de Atlapexco","Varias",1525585.5,"1","60"
"94","Atlapexco","13011","Atlapexco","Infraestructura Hídrica","2024","PTAR Atlatipa Huitzotlaco.- Reposición de Equipo de Bombeo de 7.5 H.P. Paneles Solares desazolve de estructuras de planta y cercado perimetral (80 m).","Atlaltipa Huitzotlaco",1249961.72,"1","383"
"98","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Rehabilitación del tramo: E.C. Atlapexco-Cuatapa-Tenexco del km 0+000 al km 3+900.","Cuatapa",2130447,"1","923"
"93","Atlapexco","13011","Atlapexco","Vialidades Urbanas","2023","Construcción de Pavimentación Hidráulica en la Localidad de Achiquihuxtla en Barrio Achiquihuxtla I Calle La Curva en el Municipio de Atlapexco.","Achiquihuixtla",3219403.68,"1","899"
"106","Atlapexco","13011","Atlapexco","Infraestructura Carretera","2023","Rehabilitación del tramo: E.C. Cuatapa - Tenexco - Tlahica del km 0+000 al km 0+500","Tlahica",353612.73,"1","150"
"95","Atlapexco","13011","Atlapexco","Espacios Públicos","2024","Construcción de la casa de la mujer indígena 1er etapa en el municipio de Atlapexco","Atlapexco",6319985.06,"0.11","2960"
"108","Atotonilco De Tula","13013","Atotonilco de Tula","Infraestructura Carretera","2024","Reconstrucción de C.E. Atotonilco de Tula - El Cardonal municipio de Atotonilco de Tula","Atotonilco de Tula",7984064.96,"1","8822"
"110","Atotonilco De Tula","13013","Atotonilco de Tula","Infraestructura Carretera","2025","Modernización de carretera Refugio - Texas en el municipio de Atotonilco de Tula","Atotonilco de Tula",40000000,"0","NA"
"111","Atotonilco De Tula","13013","Atotonilco de Tula","Vialidades Urbanas","2023","Construcción de pavimentación asfáltica en Lázaro Cárdenas","Conejos",988036.44,"1","4705"
"109","Atotonilco De Tula","13013","Atotonilco de Tula","Vialidades Urbanas","2024","Reconstrucción de calle República de El Salvador en el municipio de Atotonilco de Tula.","Atotonilco de Tula",598134.36,"1","NA"
"116","Atotonilco El Grande","13012","Atotonilco el Grande","Infraestructura Hídrica","2022","Construcción de ampliación de red de agua potable en Los Tepetates","Los Tepetates",3134120.46,"1","437"
"117","Atotonilco El Grande","13012","Atotonilco el Grande","Infraestructura Carretera","2024","Construye Tu Camino del tramo Camino de la Región de Comunidades Unidas en el Municipio de Atotonilco el Grande","Paraje de Los Sauces",6200000,"0.5","1350"
"115","Atotonilco El Grande","13012","Atotonilco el Grande","Vialidades Urbanas","2023","Construcción de pavimento hidráulico en calle Los Fresnos en el municipio de Atotonilco el Grande.","La Puebla",1846466.22,"1","1195"
"114","Atotonilco El Grande","13012","Atotonilco el Grande","Vialidades Urbanas","2022","Construcción de pavimentación hidráulica en calle México en la localidad de Cerro Colorado municipio de Atotonilco el Grande","Cerro Colorado",995342.94,"1","707"
"112","Atotonilco El Grande","13012","Atotonilco el Grande","Infraestructura Hídrica","2024","Construcción de interconexiones a la Línea de Conducción del Sistema de Agua Potable Los Berros en el municipio de Atotonilco El Grande","Atotonilco El Grande",23207888.52,"0.62380000000000002","8417"
"113","Atotonilco El Grande","13012","Atotonilco el Grande","Infraestructura Carretera","2023","Construcción de pavimento hidráulico en salida principal Avenida Juárez","Atotonilco El Grande",7991768.45,"1","8417"
"118","Atotonilco El Grande","13012","Atotonilco el Grande","Vialidades Urbanas","2024","Construcción de pavimento hidráulico en calle La Piaña Santa María Amajac en el municipio de Atotonilco el  Grande.","Santa María Amajac",2475805.88,"1","1510"
"128","Calnali","13014","Calnali","Infraestructura Carretera","2022","Rehabilitación de Pavimentación en la Carretera Estatal Calnali - San Andrés - Santa Lucia municipio de Calnali","Tochintlán",35528050.09,"1","226"
"119","Calnali","13014","Calnali","Vivienda Asequible","2024","Construcción de cuartos dormitorios en el municipio de Calnali","Agiladero Buenavista Camotla Coyula Pezmatlán San Andrés (San Andrés Chichayotla) Santa Lucía (Mesa de Santa Lucía)",1827486.85,"0","NA"
"130","Calnali","13014","Calnali","Infraestructura Carretera","2024","Rehabilitación del camino Pezmatlán a Tula en la localidad de Tula municipio de Calnali","Tula",4535517.84,"0.31","337"
"121","Calnali","13014","Calnali","Infraestructura Carretera","2024","Reconstrucción de la C.E. Calnali a Papatlatla Paso por Calnali en el municipio de Calnali","Calnali",3587098.19,"0.4","4235"
"127","Calnali","13014","Calnali","Infraestructura Carretera","2023","Rehabilitación del tramo acceso a Tecueyaca del Km 0+000 al km 6+000 en el Municipio de Calnali.","Tecueyaca",4692901.03,"1","312"
"129","Calnali","13014","Calnali","Infraestructura Carretera","2024","Rehabilitación de Camino Calnali a Tostlamantla del Km 0.000 al Km 5.000 en el municipio de Calnali.","Tostlamantla",3976924.16,"0.27","199"
"120","Calnali","13014","Calnali","Infraestructura Carretera","2024","Construcción de muro de contención de la C.E. Ixtlahuaco - Calnali Ahuacatlán municipio de Calnali","Ahuacatlán",2364543.41,"0.70099999999999996","821"
"126","Calnali","13014","Calnali","Infraestructura Hídrica","2022","Construcción de sanitario con biodigestor en el municipio de Calnali","Tecueyaca",344997.18,"1","20"
"125","Calnali","13014","Calnali","Infraestructura Carretera","2023","Pavimentación hidráulica de la carretera San Andrés - Tecpaco - Tecueyaca","Tecpaco",6781227.6,"1","2258"
"124","Calnali","13014","Calnali","Infraestructura Carretera","2024","Construcción de muro de contención y obra de drenaje en la C.E. Huazalingo - Calnali (Calnali - San Andrés - Santa Lucia) San Andrés municipio de Calnali","San Andrés (San Andrés Chichayotla)",3149889.61,"0.65","1355"
"122","Calnali","13014","Calnali","Espacios Públicos","2025","Construcción de Andadores Turísticos en el Centro Histórico de Calnali","Calnali",725456,"0","4235"
"123","Calnali","13014","Calnali","Vivienda Asequible","2022","Construcción de cuarto dormitorio en el municipio de Calnali","Papatlatla",519265.64,"1","20"
"156","Cardonal","13015","Cardonal","Infraestructura Hídrica","2023","Ampliación del Sistema de Agua Potable para beneficiar a la localidad de San Miguel Tlazintla en el municipio de Cardonal","San Miguel Tlazintla",1552482.46,"1","272"
"159","Cardonal","13015","Cardonal","Infraestructura Carretera","2024","Construcción de piso de concreto hidráulico en acceso a Tolantongo en el municipio de Cardonal","Tolantongo",11185208.89,"0.99","755"
"132","Cardonal","13015","Cardonal","Infraestructura Carretera","2025","Rehabilitación de la carretera Cardonal - Cerro Colorado municipio de Cardonal","Cardonal",13410378.14,"0","NA"
